time,temp,prcp,solar radiation,relative humidity,prcp_rain
2023-05-01 03:00:00,9.570001220703148,0.01,0.0,93.3,0.0
2023-05-01 06:00:00,12.379998779296898,0.0,66.0,80.5,0.0
2023-05-01 09:00:00,18.369989013671898,0.0,620.0,59.1,0.0
2023-05-01 12:00:00,21.149987792968773,0.02,739.0,46.0,0.0
2023-05-01 15:00:00,21.55001220703128,0.03,600.0,47.4,0.0
2023-05-01 18:00:00,17.050012207031273,0.1,369.0,64.0,0.0
2023-05-01 21:00:00,15.350000000000025,0.0,0.0,64.0,0.0
2023-05-02 00:00:00,15.100000000000025,0.0,0.0,59.8,0.0
2023-05-02 03:00:00,13.950006103515648,0.0,0.0,62.3,0.0
2023-05-02 06:00:00,14.249993896484398,0.0,53.0,64.4,0.0
2023-05-02 09:00:00,17.950006103515648,0.0,520.0,56.6,0.0
2023-05-02 12:00:00,20.649987792968773,0.0,620.0,50.9,0.0
2023-05-02 15:00:00,20.05001220703128,0.16,460.0,53.9,0.0
2023-05-02 18:00:00,16.850000000000023,0.31,283.0,61.6,0.0
2023-05-02 21:00:00,15.649987792968773,0.01,0.0,59.2,0.0
2023-05-03 00:00:00,14.550012207031273,0.01,0.0,61.0,0.0
2023-05-03 03:00:00,13.050012207031273,0.0,0.0,65.7,0.0
2023-05-03 06:00:00,13.249993896484398,0.0,44.0,67.0,0.0
2023-05-03 09:00:00,15.749993896484398,0.1,410.0,60.1,0.0
2023-05-03 12:00:00,17.350000000000023,0.3,470.0,56.2,0.0
2023-05-03 15:00:00,16.350000000000023,0.6,330.0,62.0,0.0
2023-05-03 18:00:00,13.749993896484398,1.2,200.0,72.3,1.0
2023-05-03 21:00:00,12.850000000000025,0.4,0.0,75.8,0.0
2023-05-04 00:00:00,12.050012207031273,0.9,0.0,81.5,1.0
2023-05-04 03:00:00,11.450006103515648,0.5,0.0,85.4,1.0
2023-05-04 06:00:00,11.850000000000025,0.9,17.0,83.3,1.0
2023-05-04 09:00:00,13.649987792968773,0.3,210.0,75.4,1.0
2023-05-04 12:00:00,15.249993896484398,0.6,290.0,69.4,1.0
2023-05-04 15:00:00,16.149987792968773,0.4,390.0,66.1,1.0
2023-05-04 18:00:00,13.149987792968773,0.7,250.0,78.3,1.0
2023-05-04 21:00:00,11.550012207031273,0.1,0.0,83.6,0.0
2023-05-05 00:00:00,10.550012207031273,0.1,0.0,87.0,0.0
2023-05-05 03:00:00,9.550012207031273,0.01,0.0,88.7,0.0
2023-05-05 06:00:00,11.749993896484398,0.0,54.0,78.4,0.0
2023-05-05 09:00:00,16.149987792968773,0.04,520.0,60.6,0.0
2023-05-05 12:00:00,18.649987792968773,0.2,629.0,50.5,0.0
2023-05-05 15:00:00,18.450006103515648,0.09,560.0,50.7,0.0
2023-05-05 18:00:00,14.149987792968773,0.1,355.0,67.7,0.0
2023-05-05 21:00:00,11.749993896484398,0.02,0.0,73.5,0.0
2023-05-06 00:00:00,10.350000000000025,0.1,0.0,73.7,0.0
2023-05-06 03:00:00,9.050012207031273,0.0,0.0,75.9,0.0
2023-05-06 06:00:00,11.850000000000025,0.1,64.0,67.5,0.0
2023-05-06 09:00:00,16.350000000000023,0.1,570.0,50.8,0.0
2023-05-06 12:00:00,18.450006103515648,0.3,677.0,44.1,0.0
2023-05-06 15:00:00,17.749993896484398,0.16,530.0,48.3,0.0
2023-05-06 18:00:00,13.450006103515648,0.3,335.0,64.7,0.0
2023-05-06 21:00:00,11.149987792968773,0.1,0.0,70.1,0.0
2023-05-07 00:00:00,9.850000000000025,0.3,0.0,73.1,0.0
2023-05-07 03:00:00,8.850000000000023,0.0,0.0,74.3,0.0
2023-05-07 06:00:00,11.149987792968773,0.1,57.0,69.0,0.0
2023-05-07 09:00:00,15.149987792968773,0.09,510.0,58.2,0.0
2023-05-07 12:00:00,17.550012207031273,0.2,607.0,51.7,0.0
2023-05-07 15:00:00,17.050012207031273,0.2,500.0,53.5,0.0
2023-05-07 18:00:00,13.149987792968773,0.5,319.0,67.0,0.0
2023-05-07 21:00:00,11.450006103515648,0.2,0.0,71.7,0.0
2023-05-08 00:00:00,10.450006103515648,0.4,0.0,75.3,0.0
2023-05-08 03:00:00,9.649987792968773,0.2,0.0,79.0,0.0
2023-05-08 06:00:00,12.149987792968773,0.5,51.0,73.2,0.0
2023-05-08 09:00:00,15.350000000000025,0.3,400.0,64.2,0.0
2023-05-08 12:00:00,17.749993896484398,0.5,498.0,57.4,0.0
2023-05-08 15:00:00,17.249993896484398,0.2,420.0,60.7,0.0
2023-05-08 18:00:00,13.649987792968773,1.0,262.0,73.2,0.0
2023-05-08 21:00:00,12.050012207031273,0.5,0.0,77.8,0.0
2023-05-09 00:00:00,11.059991455078148,1.0,0.0,81.8,0.0
2023-05-09 03:00:00,10.330010986328148,0.7,0.0,84.1,0.0
2023-05-09 06:00:00,12.149987792968773,1.0,46.0,77.9,0.0
2023-05-09 09:00:00,15.779992675781273,0.3,440.0,65.9,0.0
2023-05-09 12:00:00,17.950006103515648,0.7,542.0,58.5,0.0
2023-05-09 15:00:00,17.749993896484398,0.3,480.0,59.0,1.0
2023-05-09 18:00:00,14.149987792968773,0.8,302.0,72.6,0.0
2023-05-09 21:00:00,12.249993896484398,0.6,0.0,77.8,0.0
2023-05-10 00:00:00,11.149987792968773,0.9,0.0,80.8,0.0
2023-05-10 03:00:00,10.450006103515648,0.1,0.0,83.3,0.0
2023-05-10 06:00:00,12.749993896484398,0.2,52.0,75.7,0.0
2023-05-10 09:00:00,16.350000000000023,0.1,460.0,63.1,0.0
2023-05-10 12:00:00,18.7499938964844,0.5,566.0,55.9,0.0
2023-05-10 15:00:00,18.55001220703128,0.3,510.0,58.0,0.0
2023-05-10 18:00:00,14.649987792968773,0.8,325.0,72.3,0.0
2023-05-10 21:00:00,12.950006103515648,0.2,0.0,77.4,0.0
2023-05-11 03:00:00,12.070001220703148,0.0,0.0,65.7,0.0
2023-05-11 06:00:00,13.050012207031273,0.0,52.0,65.5,0.0
2023-05-11 09:00:00,14.950006103515648,0.0,390.0,53.2,0.0
2023-05-11 12:00:00,16.149987792968773,0.0,443.0,50.6,0.0
2023-05-11 15:00:00,14.149987792968773,0.5,240.0,62.3,1.0
2023-05-11 18:00:00,12.749993896484398,1.3,131.0,69.1,1.0
2023-05-11 21:00:00,12.550012207031273,0.4,0.0,71.9,1.0
2023-05-12 00:00:00,12.050012207031273,0.7,0.0,73.4,1.0
2023-05-12 03:00:00,10.350000000000025,0.7,0.0,76.7,1.0
2023-05-12 06:00:00,10.249993896484398,1.2,34.0,71.2,1.0
2023-05-12 09:00:00,12.550012207031273,0.4,330.0,66.7,0.0
2023-05-12 12:00:00,14.649987792968773,0.7,473.0,61.4,1.0
2023-05-12 15:00:00,13.649987792968773,0.5,500.0,64.7,0.0
2023-05-12 18:00:00,11.249993896484398,1.0,317.0,72.8,1.0
2023-05-12 21:00:00,10.350000000000025,0.3,0.0,77.4,1.0
2023-05-13 00:00:00,9.950006103515648,0.5,0.0,80.7,1.0
2023-05-13 03:00:00,9.350000000000025,0.2,0.0,83.4,0.0
2023-05-13 06:00:00,11.749993896484398,0.3,60.0,77.0,0.0
2023-05-13 09:00:00,16.350000000000023,0.0,500.0,65.7,0.0
2023-05-13 12:00:00,19.450006103515648,0.4,622.0,57.2,0.0
2023-05-13 15:00:00,18.649987792968773,0.8,580.0,59.8,1.0
2023-05-13 18:00:00,14.749993896484398,1.1,359.0,69.7,1.0
2023-05-13 21:00:00,13.550012207031273,0.2,0.0,70.8,0.0
2023-05-14 00:00:00,12.950006103515648,0.6,0.0,73.0,0.0
2023-05-14 03:00:00,12.350000000000025,0.3,0.0,76.0,0.0
2023-05-14 06:00:00,13.249993896484398,0.7,34.0,75.9,1.0
2023-05-14 09:00:00,15.149987792968773,0.5,250.0,72.7,0.0
